Rk,Player,STL,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Tim Duncan,8,2000-02-09,23-290,SAS,@,DEN,W 106-97,*,43,8,18,.444,8,18,.444,0,0,,8,9,.889,.546,5,8,13,4,8,1,4,3,24,26.4,8.0,12,F-C,duncati01
2,Tim Duncan,5,1999-03-23,22-332,SAS,,DEN,W 112-82,*,34,9,17,.529,9,17,.529,0,0,,1,2,.500,.531,2,3,5,2,5,3,1,1,19,19.7,5.9,22,F-C,duncati01
3,Tim Duncan,5,2006-12-22,30-241,SAS,,HOU,L 78-97,*,33,4,13,.308,4,13,.308,0,0,,6,11,.545,.392,3,8,11,4,5,2,4,3,14,13.0,6.0,-7,F-C,duncati01
4,Tim Duncan,4,2001-12-01,25-220,SAS,@,HOU,W 85-75,*,39,11,18,.611,11,18,.611,0,0,,3,5,.600,.619,3,9,12,3,4,4,3,2,25,25.9,16.3,13,F-C,duncati01
5,Tim Duncan,4,2002-11-13,26-202,SAS,@,NJN,L 82-91,*,45,8,19,.421,8,19,.421,0,0,,5,10,.500,.449,2,6,8,3,4,0,4,4,21,12.6,2.5,-7,F-C,duncati01
6,Tim Duncan,4,2015-11-21,39-210,SAS,,MEM,W 92-82,*,36,5,8,.625,5,8,.625,0,0,,0,0,,.625,2,8,10,4,4,2,3,5,10,13.4,9.7,6,F-C,duncati01
7,Tim Duncan,4,2016-01-12,39-262,SAS,@,DET,W 109-99,*,30,5,8,.625,5,8,.625,0,0,,4,5,.800,.686,2,7,9,3,4,2,2,3,14,17.8,13.9,6,F-C,duncati01
8,Tim Duncan,3,1998-03-12,21-321,SAS,,SAC,W 97-86,*,33,9,15,.600,9,15,.600,0,0,,6,8,.750,.648,4,6,10,3,3,0,1,4,24,23.4,13.6,3,F-C,duncati01
9,Tim Duncan,3,1999-02-21,22-302,SAS,,DET,W 85-64,*,38,6,15,.400,6,15,.400,0,0,,5,6,.833,.482,3,11,14,4,3,3,3,2,17,18.0,10.3,21,F-C,duncati01
10,Tim Duncan,3,1999-03-07,22-316,SAS,@,DEN,W 106-96,*,46,14,27,.519,14,27,.519,0,0,,6,10,.600,.541,7,6,13,4,3,3,5,3,34,27.5,1.8,12,F-C,duncati01
11,Tim Duncan,3,1999-03-12,22-321,SAS,@,PHO,W 99-97,*,43,11,21,.524,11,21,.524,0,0,,4,7,.571,.540,3,2,5,5,3,2,3,4,26,20.5,5.0,-4,F-C,duncati01
12,Tim Duncan,3,2000-02-03,23-284,SAS,,TOR,W 112-95,*,40,11,22,.500,11,22,.500,0,0,,10,10,1.000,.606,6,11,17,7,3,1,2,2,32,34.3,18.2,23,F-C,duncati01
13,Tim Duncan,3,2001-01-13,24-263,SAS,@,PHI,L 83-100,*,39,13,21,.619,13,21,.619,0,0,,3,6,.500,.613,3,3,6,3,3,0,4,4,29,20.8,8.2,-10,F-C,duncati01
14,Tim Duncan,3,2001-02-21,24-302,SAS,,LAL,L 99-101,*,45,10,22,.455,10,22,.455,0,0,,2,7,.286,.439,0,7,7,4,3,0,2,4,22,12.9,-2.5,-1,F-C,duncati01
15,Tim Duncan,3,2001-03-03,24-312,SAS,,ATL,W 124-95,*,34,8,18,.444,8,18,.444,0,0,,10,12,.833,.558,6,5,11,3,3,2,2,3,26,24.8,6.2,23,F-C,duncati01
16,Tim Duncan,3,2001-03-21,24-330,SAS,@,BOS,W 97-77,*,42,5,11,.455,5,11,.455,0,0,,5,12,.417,.461,0,14,14,3,3,1,2,3,15,13.3,2.4,18,F-C,duncati01
17,Tim Duncan,3,2002-01-15,25-265,SAS,@,WAS,W 96-91,*,43,6,17,.353,6,17,.353,0,0,,10,12,.833,.494,0,7,7,2,3,1,6,3,22,11.7,-3.4,9,F-C,duncati01
18,Tim Duncan,3,2002-01-22,25-272,SAS,,NJN,L 86-92,*,44,10,17,.588,10,16,.625,0,1,.000,12,14,.857,.691,3,11,14,1,3,4,5,3,32,29.0,14.4,-1,F-C,duncati01
19,Tim Duncan,3,2002-04-06,25-346,SAS,,DAL,W 89-87,*,44,10,20,.500,10,20,.500,0,0,,13,18,.722,.591,5,11,16,5,3,3,3,1,33,33.0,18.1,1,F-C,duncati01
20,Tim Duncan,3,2003-12-15,27-234,SAS,,MEM,W 78-67,*,33,8,15,.533,8,15,.533,0,0,,5,10,.500,.541,6,7,13,0,3,1,6,6,21,13.3,4.4,4,F-C,duncati01